Case Number,Date,Type,Country,Sex ,Age,Fatal (Y/N)
1910.02.16,1910-02-16,Unprovoked,AUSTRALIA,M,0,N
1910.03.08,1910-03-08,Unprovoked,NEW ZEALAND,M,0,N
1910.03.00,1910-03-10,Unknown,USA,M,0,N
1910.00.00.a,1910-03-24,Unprovoked,PHILIPPINES,M,0,UNKNOWN
1910.00.00.b,1910-03-24,Unknown,USA,M,0,Y
1910.03.31,1910-03-31,Unprovoked,PANAMA,M,0,Y
1910.05.16.R,1910-05-16,Unknown,USA,M,0,N
1910.06.08.R,1910-06-08,Sea Disaster,MOZAMBIQUE,UNIDENTIFIED,0,Y
1910.06.25.R,1910-06-25,Unprovoked,MEXICO,M,0,N
1910.11.24,1910-11-24,Unprovoked,AUSTRALIA,M,0,N
1945.02.05,1945-02-05,Unprovoked,PALESTINE,M,0,N
1910.12.23.R,1910-12-23,Sea Disaster,AUSTRALIA,M,0,Y
1910.12.25.R,1910-12-25,Unknown,CROATIA,M,0,Y
1911.01.04,1911-01-04,Sea Disaster,AUSTRALIA,M,22,N
1911.00.00.b,1911-03-25,Unprovoked,USA,M,0,N
1911.03.29.R,1911-03-29,Unprovoked,AUSTRALIA,M,0,Y
1911.04.08.R,1911-04-08,Boating,NEW ZEALAND,UNIDENTIFIED,0,N
1911.05.01.R,1911-05-01,Provoked,USA,M,0,N
1911.05.01,1911-05-01,Unprovoked,SOUTH AFRICA,M,0,Y
1911.05.09,1911-05-09,Unprovoked,SOUTH AFRICA,M,64,Y
1911.07.16.R,1911-07-16,Provoked,USA,M,0,N
1911.07.31.R,1911-07-31,Unprovoked,SPAIN,M,0,Y
1911.09.17,1911-09-17,Unprovoked,USA,M,0,N
1911.09.20,1911-09-20,Unprovoked,USA,M,0,Y
1911.09.23,1911-09-23,Unprovoked,USA,M,0,Y
1911.10.25,1911-10-25,Unprovoked,AUSTRALIA,M,23,N
1911.10.26,1911-10-26,Unprovoked,USA,M,0,Y
1911.11.08,1911-11-08,Unknown,USA,M,0,Y
1912.01.01,1912-01-01,Unprovoked,AUSTRALIA,M,0,Y
1912.01.06,1912-01-06,Unprovoked,AUSTRALIA,M,0,N
1912.01.13.R,1912-01-13,Unprovoked,FIJI,M,7,Y
1912.01.26,1912-01-26,Unprovoked,AUSTRALIA,M,21,Y
1946.08.24,1946-08-24,Unprovoked,PALESTINE,M,15,N
1912.02.19,1912-02-19,Unprovoked,AUSTRALIA,M,18,N
1912.02.22,1912-02-22,Provoked,AUSTRALIA,M,0,N
1912.03.18,1912-03-18,Unprovoked,NEW ZEALAND,M,0,N
1912.00.00,1912-03-26,Unprovoked,SPAIN,M,0,Y
1912.05.04,1912-05-04,Unknown,SOUTH AFRICA,M,0,UNKNOWN
1912.07.06.R,1912-07-06,Unprovoked,SOLOMON ISLANDS,M,0,Y
1912.07.23,1912-07-23,Unprovoked,USA,M,0,N
1912.08.30,1912-08-30,Unprovoked,USA,M,12,Y
1913.01.00,1913-01-13,Unprovoked,AUSTRALIA,M,0,N
1913.00.00.a,1913-03-27,Unprovoked,AUSTRALIA,M,0,N
1913.00.00.c,1913-03-27,Unprovoked,REUNION,M,0,Y
1913.03.27,1913-03-27,Unprovoked,SAMOA,M,0,N
1913.00.00.d,1913-03-27,Unprovoked,REUNION,M,0,Y
1913.05.02,1913-05-02,Provoked,AUSTRALIA,M,0,N
1913.05.21,1913-05-21,Provoked,USA,M,0,N
1913.07.12,1913-07-12,Unprovoked,USA,M,0,Y
1913.08.26.R,1913-08-26,Unknown,ITALY,UNIDENTIFIED,0,Y
1913.08.27.R,1913-08-27,Unknown,USA,M,0,UNKNOWN
1913.08.27.R,1913-08-27,Unknown,USA,F,0,UNKNOWN
1913.09.03,1913-09-03,Provoked,CROATIA,M,0,N
1913.09.21,1913-09-21,Unprovoked,USA,M,0,N
1913.11.21,1913-11-21,Unprovoked,AUSTRALIA,M,12,N
1913.11.27,1913-11-27,Unprovoked,NIGERIA,M,0,Y
1913.12.30.R,1913-12-30,Provoked,USA,UNIDENTIFIED,0,N
1914.01.17.R,1914-01-17,Unprovoked,AUSTRALIA,F,0,N
1914.02.03,1914-02-03,Unprovoked,AUSTRALIA,M,0,N
1914.02.09.R,1914-02-09,Unprovoked,AUSTRALIA,M,0,N
1914.03.03,1914-03-03,Unprovoked,USA,M,0,Y
1914.03.14.R,1914-03-14,Unknown,USA,M,0,Y
1914.00.00,1914-03-28,Unprovoked,SOUTH AFRICA,F,0,UNKNOWN
1914.05.14,1914-05-14,Provoked,USA,F,0,N
1962.08.31.R,1962-08-31,Provoked,PALESTINE,M,0,UNKNOWN
1914.06.10,1914-06-10,Unprovoked,AUSTRALIA,M,43,Y
1914.06.12,1914-06-13,Boating,MONTENEGRO,M,0,N
1914.07.07,1914-07-07,Unprovoked,CROATIA,M,0,N
1914.07.09.R,1914-07-09,Provoked,USA,M,0,N
1914.07.15.R,1914-07-15,Unprovoked,CROATIA,F,0,N
1914.09.09,1914-09-09,Unprovoked,USA,M,17,Y
1914.09.26.R,1914-09-26,Unprovoked,JAMAICA,M,0,Y
1914.10.17,1914-10-17,Sea Disaster,SAMOA,F,0,N
1914.12.04.R,1914-12-04,Unprovoked,AUSTRALIA,M,0,N
1915.01.01,1915-01-01,Unprovoked,AUSTRALIA,M,17,Y
1915.01.13,1915-01-13,Unknown,NEW ZEALAND,M,0,Y
1915.02.06,1915-02-06,Unprovoked,AUSTRALIA,M,0,N
1915.03.29,1915-03-29,Unprovoked,AUSTRALIA,M,0,N
1915.05.15.R,1915-05-15,Unknown,EGYPT,M,0,Y
1915.07.06.a.R,1915-07-06,Unprovoked,MEXICO,M,0,Y
1915.07.06.a.R,1915-07-06,Unprovoked,MEXICO,M,0,Y
1915.08.03,1915-08-03,Unprovoked,USA,M,0,N
1915.11.08,1915-11-08,Unprovoked,AUSTRALIA,M,0,N
1915.11.10,1915-11-10,Unprovoked,AUSTRALIA,M,10,N
1915.12.09.R,1915-12-09,Unprovoked,AUSTRALIA,M,0,N
1916.03.19,1916-03-19,Unprovoked,AUSTRALIA,M,0,N
1916.04.03,1916-04-03,Unprovoked,AUSTRALIA,M,17,Y
1916.04.25.R,1916-04-25,Unprovoked,AUSTRALIA,M,0,Y
1916.06.23,1916-06-23,Provoked,USA,M,26,N
1916.06.24.R,1916-06-24,Unprovoked,ATLANTIC OCEAN,M,0,Y
1916.07.01,1916-07-01,Unprovoked,USA,M,24,Y
1916.07.06,1916-07-06,Unprovoked,USA,M,0,Y
1916.07.07,1916-07-07,Unprovoked,PHILIPPINES,M,0,N
1916.07.08,1916-07-08,Unprovoked,SPAIN,M,0,N
1916.07.11,1916-07-11,Sea Disaster,BAHAMAS,M,0,Y
1916.07.12.a,1916-07-12,Unprovoked,USA,M,10,Y
1916.07.12.c,1916-07-12,Unprovoked,USA,M,12,N
1916.07.12.b,1916-07-12,Unprovoked,USA,M,24,Y
1916.07.13,1916-07-13,Unprovoked,USA,M,0,N
1916.07.13.b,1916-07-13,Unknown,USA,F,0,N
1916.07.26,1916-07-26,Unprovoked,USA,M,0,N
1916.08.24,1916-08-24,Unprovoked,USA,M,0,N
1916.10.11,1916-10-11,Provoked,USA,M,0,Y
1916.11.09,1916-11-09,Unprovoked,AUSTRALIA,M,27,Y
1916.11.10,1916-11-10,Unprovoked,AUSTRALIA,M,0,Y
1916.11.15,1916-11-15,Provoked,PANAMA,M,0,N
1916.12.08.b,1916-12-08,Unprovoked,AUSTRALIA,M,41,Y
1916.12.08.a,1916-12-08,Unprovoked,AUSTRALIA,F,0,N
1916.12.30,1916-12-30,Unprovoked,AUSTRALIA,M,25,N
1917.00.00,1917-03-31,Unprovoked,LIBYA,M,0,N
1917.05.05,1917-05-05,Unprovoked,KUWAIT,M,0,N
1917.05.31,1917-05-31,Unprovoked,PHILIPPINES,M,0,Y
1917.06.03,1917-06-03,Unprovoked,USA,M,0,N
1917.07.15,1917-07-15,Sea Disaster,IRELAND,M,0,Y
1917.07.18,1917-07-18,Unprovoked,USA,M,0,Y
1917.09.09,1917-09-09,Provoked,USA,M,0,N
1917.09.00,1917-09-17,Unprovoked,PANAMA,M,0,Y
1917.09.21,1917-09-21,Unprovoked,USA,M,0,N
1917.11.00,1917-11-17,Unprovoked,MOZAMBIQUE,M,0,Y
1917.12.15,1917-12-15,Unprovoked,AUSTRALIA,M,0,N
1918.03.22,1918-03-22,Unprovoked,AUSTRALIA,M,0,N
1918.00.00,1918-04-01,Unprovoked,AUSTRALIA,M,0,N
1918.09.19,1918-09-19,Unprovoked,AUSTRALIA,M,22,Y
1918.11.00.b,1918-11-18,Unprovoked,USA,M,0,Y
1918.11.00.a,1918-11-18,Sea Disaster,SAN DOMINGO,M,0,Y
1919.01.05,1919-01-05,Unprovoked,AUSTRALIA,M,38,Y
1919.01.09,1919-01-09,Unprovoked,AUSTRALIA,M,13,Y
1919.01.15,1919-01-15,Unprovoked,NEW ZEALAND,F,0,N
1919.01.17,1919-01-17,Unprovoked,AUSTRALIA,M,0,N
1919.03.16,1919-03-16,Unknown,AUSTRALIA,M,0,UNKNOWN
1919.00.00,1919-04-02,Unprovoked,USA,F,0,N
1919.04.06,1919-04-06,Unprovoked,USA,M,0,Y
1919.05.29,1919-05-29,Unprovoked,USA,M,0,N
1919.08.10,1919-08-10,Unprovoked,USA,M,0,N
1919.09.12,1919-09-12,Unprovoked,COSTA RICA,M,0,Y
1919.11.18,1919-11-18,Unprovoked,AUSTRALIA,M,0,N
1919.12.07,1919-12-07,Unprovoked,AUSTRALIA,M,47,Y
1919.12.30.R,1919-12-30,Unprovoked,AUSTRALIA,M,29,N
1920.01.15,1920-01-15,Unprovoked,AUSTRALIA,M,12,Y
1920.01.24.R.a,1920-01-24,Unprovoked,AUSTRALIA,M,0,Y
1920.01.24.R.b,1920-01-24,Unprovoked,AUSTRALIA,M,0,N
1920.02.03,1920-02-03,Unprovoked,SOUTH AFRICA,F,18,N
1920.03.08,1920-03-08,Unprovoked,AUSTRALIA,M,20,N
1920.00.00.a,1920-04-03,Unprovoked,SOUTH AFRICA,M,12,N
1920.00.00.b,1920-04-03,Unprovoked,NEW ZEALAND,F,0,N
1920.06.27,1920-06-27,Provoked,CANADA,UNIDENTIFIED,0,N
1920.06.29,1920-06-29,Unprovoked,USA,M,13,N
1920.07.05.R,1920-07-06,Unprovoked,AUSTRALIA,M,0,N
1920.07.14,1920-07-14,Unknown,USA,M,30,Y
1920.11.04,1920-11-04,Sea Disaster,PHILIPPINES,UNIDENTIFIED,0,Y
1920.11.22,1920-11-22,Unprovoked,AUSTRALIA,M,0,N
1920.11.29,1920-11-29,Unprovoked,AUSTRALIA,M,0,N
1921.01.11.R,1921-01-11,Unknown,PHILIPPINES,UNIDENTIFIED,0,UNKNOWN
1921.08.22,1921-08-22,Unprovoked,HAITI,M,0,Y
1921.08.28,1921-08-28,Unprovoked,PHILIPPINES,M,21,Y
1921.08.29.R,1921-08-29,Unprovoked,AUSTRALIA,M,0,N
1921.09.00,1921-09-21,Provoked,ENGLAND,M,0,N
1921.10.04,1921-10-04,Unprovoked,AUSTRALIA,M,22,Y
1921.10.12,1921-10-12,Unprovoked,AUSTRALIA,M,0,N
1921.11.15.R,1921-11-15,Unprovoked,FIJI,UNIDENTIFIED,0,Y
1921.11.27.a,1921-11-27,Unprovoked,AUSTRALIA,M,40,N
1921.11.27.b,1921-11-27,Unprovoked,AUSTRALIA,M,8,Y
1921.12.11,1921-12-11,Unprovoked,AUSTRALIA,M,20,N
1922.01.04,1922-01-04,Unprovoked,AUSTRALIA,M,26,Y
1922.01.13,1922-01-13,Unprovoked,AUSTRALIA,M,0,N
1922.01.15,1922-01-15,Unprovoked,AUSTRALIA,M,54,Y
1922.01.28.R,1922-01-28,Unprovoked,IRAQ,M,0,Y
1922.02.22.R,1922-02-02,Unknown,AUSTRALIA,M,0,Y
1922.02.04,1922-02-04,Unprovoked,AUSTRALIA,M,18,Y
1922.03.02,1922-03-02,Unprovoked,AUSTRALIA,M,21,Y
1922.03.13,1922-03-13,Unprovoked,JAMAICA,F,14,Y
1922.03.20,1922-03-20,Unprovoked,JAMAICA,M,0,N
1922.04.26,1922-04-26,Unprovoked,AUSTRALIA,M,0,Y
1922.05.06,1922-05-06,Unprovoked,SOUTH AFRICA,M,18,N
1922.05.24,1922-05-24,Unprovoked,JAMAICA,M,19,Y
1922.06.17,1922-06-17,Unprovoked,USA,F,18,Y
1922.07.19,1922-07-19,Unprovoked,USA,M,0,N
1922.09.21.R,1922-09-21,Boating,USA,UNIDENTIFIED,0,N
1922.09.26.R,1922-09-26,Unprovoked,ENGLAND,M,0,Y
1922.09.28,1922-09-28,Unprovoked,USA,M,0,N
1922.09.29,1922-09-29,Unprovoked,BARBADOS,M,16,Y
1922.10.29,1922-10-29,Unknown,AUSTRALIA,M,0,UNKNOWN
1922.12.05,1922-12-05,Unprovoked,AUSTRALIA,M,19,Y
1922.12.14,1922-12-14,Unprovoked,USA,F,0,Y
1923.01.13,1923-01-14,Unknown,CUBA,M,0,Y
1923.01.27.b,1923-01-27,Unknown,AUSTRALIA,M,0,UNKNOWN
1923.01.27.a,1923-01-27,Unprovoked,AUSTRALIA,M,13,Y
1923.02.00,1923-02-23,Unprovoked,USA,M,25,N
1923.03.18,1923-03-18,Unprovoked,AUSTRALIA,M,0,N
1923.00.00.a,1923-04-06,Provoked,USA,M,0,N
1923.00.00.a,1923-04-06,Provoked,USA,M,0,N
1923.00.00.c,1923-04-06,Boating,USA,M,0,N
1923.05.22,1923-05-22,Unprovoked,AUSTRALIA,M,0,Y
1923.05.23.R,1923-05-23,Unprovoked,AUSTRALIA,M,0,N
1923.06.06,1923-06-06,Boating,MEXICO,UNIDENTIFIED,0,N
1923.06.16,1923-06-16,Boating,AUSTRALIA,M,0,Y
1923.07.02.R,1923-07-02,Unprovoked,AUSTRALIA,M,0,N
1923.08.08,1923-08-08,Unprovoked,GUYANA,M,0,N
1923.10.16,1923-10-16,Unprovoked,AUSTRALIA,M,0,N
1923.10.17,1923-10-17,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1923.10.20,1923-10-20,Unknown,AUSTRALIA,M,0,Y
1923.11.02,1923-11-02,Unknown,AUSTRALIA,M,0,Y
1923.11.23,1923-11-23,Unprovoked,AUSTRALIA,M,0,Y
1923.12.02,1923-12-02,Unprovoked,AUSTRALIA,M,0,Y
1923.12.12,1923-12-12,Unprovoked,AUSTRALIA,M,0,N
1924.01.19,1924-01-09,Unprovoked,AUSTRALIA,M,16,Y
1924.01.25,1924-01-25,Unprovoked,SOUTH AFRICA,M,0,N
1924.01.29,1924-01-29,Unprovoked,SOUTH AFRICA,M,22,Y
1924.02.08,1924-02-08,Unknown,AUSTRALIA,M,0,UNKNOWN
1924.02.13,1924-02-13,Unprovoked,AUSTRALIA,F,30,N
1924.03.24,1924-03-24,Boating,SPAIN,UNIDENTIFIED,0,N
1924.03.28.R,1924-03-28,Unprovoked,SOLOMON ISLANDS,M,0,N
1924.04.20,1924-04-20,Unknown,AUSTRALIA,M,0,N
1924.04.22,1924-04-22,Unprovoked,PANAMA,M,21,N
1924.04.25,1924-04-25,Unprovoked,AUSTRALIA,M,20,Y
1924.06.18,1924-06-18,Provoked,USA,M,0,N
1924.07.14,1924-07-14,Provoked,ENGLAND,M,0,N
1924.07.31,1924-07-31,Unprovoked,USA,M,0,N
1924.10.18,1924-10-18,Unprovoked,AUSTRALIA,M,0,N
1924.10.31.R,1924-10-31,Provoked,FRENCH POLYNESIA,M,0,N
1924.11.21,1924-11-21,Unprovoked,USA,M,35,Y
1924.11.24,1924-11-24,Unprovoked,PANAMA,M,35,N
